ID,Name,ImpactFactor,TypeofScience,publisher,URL,URL2,data_sharing_req_pub,data_sharing_req_noeffct_pub,data_sharing_encouraged,data_sharing_review,data_sharing_mentioned,data_sharing_protein,data_sharing_codes,data_sharing_none,protein_deposit,code_deposit,trial_deposit,online_reposit,journal_host_sharing,share_request_to_author,multiple_sharing,unspecified_sharing,journal_host_all,journal_host_limit,journal_host_unspecified,open_access,Subcription.,data_copyright,archival,reproducibility
2,ACADEMY OF MANAGEMENT REVIEW,9.408,S,Academy of Management,http://aom.org/Publications/AMR/Information-for-Contributors.aspx,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
3,ACCIDENT ANALYSIS AND PREVENTION,2.685,S,Elsevier,https://www.elsevier.com/journals/accident-analysis-and-prevention/0001-4575/guide-for-authors,NA,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
4,ACM Transactions on Autonomous and Adaptive Systems,2.133,M,Association for Computing Machinery ,https://taas.acm.org/authors.cfm,https://www.acm.org/publications/authors/acm-author-izer-service,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
5,ACM Transactions on Computer-Human Interaction,2.227,M,Association for Computing Machinery ,http://tochi.acm.org/authors/ ,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
6,ACTA CARSOLOGICA,0.585,P,ZRC SAZU Publishing,https://ojs.zrc-sazu.si/carsologica/about/submissions#authorGuidelines,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,1,0,0,0,0
7,ACTA MECHANICA,1.851,P,Springer Vienna,https://www.springer.com/engineering/mechanics/journal/707,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
8,Acta Medica Portuguesa,0.498,C,Ordem dos MeÌdicos,https://www.actamedicaportuguesa.com/revista/index.php/amp/about/editorialPolicies#openAccessPolicy,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,1,0,0,0,1
9,ACTA PHYSICA POLONICA B,0.904,P,Jagiellonian University,http://www.actaphys.uj.edu.pl/docs/GuideToAuthors.pdf,http://www.actaphys.uj.edu.pl/for_authors/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,0,0,0
10,ADVANCES IN APPLIED MATHEMATICS,0.849,M,Elsevier,https://www.elsevier.com/about/our-business/policies/research-data,https://www.elsevier.com/journals/advances-in-applied-mathematics/0196-8858/guide-for-authors,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
11,Advances in Applied Mathematics and Mechanics,0.763,M,Cambridge University Press,http://www.global-sci.com/authors/index.html,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
15,Advances in Marine Biology,2.286,B,Elsevier,https://www.elsevier.com/authors/journal-authors/policies-and-ethics,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,1,0,1
16,Advances in Neonatal Care,1.277,C,Lippincott Williams & Wilkins,http://edmgr.ovid.com/anc/accounts/ifauth.htm#ConditionsforSubmission,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
17,Advances in Optics and Photonics,17.833,P,The Optical Society (OSA),https://www.osapublishing.org/submit/review/ethical_guidelines(jan2012).pdf,https://www.osapublishing.org/submit/style/multimedia.cfm#dataset,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
18,ADVANCES IN PHYSIOLOGY EDUCATION,1.755,B,The American Physiological Society,https://www.physiology.org/author-info.data-supplements,https://www.physiology.org/author-info.fetal-tissue-policy,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,NA,NA,NA,1,0,1,0,1
19,ADVANCES IN STRUCTURAL ENGINEERING,0.829,P,Sage,https://us.sagepub.com/en-us/nam/ethics-responsibility,NA,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
20,AFRICAN INVERTEBRATES,0.622,B,Pensoft Publishers,https://africaninvertebrates.pensoft.net/about#Author-Guidelines,Copyrights https://riojournal.com/articles.php?id=12431&instance_id=3306530,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,1,0,1,0,1
21,African Journal of Wildlife Research,0.312,B,Southern African Wildlife Management Association,http://peertrack.net/SAWMA/AUTHORS-GUIDE-REV-SEP-15.pdf,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
